Task ID,Core ID,Wait Time (ms),Exec Time (ms),Turnaround Time (ms)
19,1,118,215,333
42,2,117,233,350
7,1,446,223,669
37,2,460,224,684
40,1,767,224,991
13,2,788,247,1035
33,1,1093,277,1370
14,2,1148,289,1437
45,1,1470,305,1775
35,2,1538,325,1863
11,1,1878,352,2230
48,2,1977,351,2328
26,1,2330,373,2703
30,2,2429,374,2803
12,1,2806,386,3192
21,2,2904,405,3309
25,1,3292,436,3728
38,2,3409,437,3846
9,1,3831,444,4275
39,2,3947,452,4399
44,1,4374,454,4828
5,2,4501,477,4978
8,1,4931,479,5410
24,2,5077,486,5563
6,1,5510,500,6010
18,2,5665,521,6186
27,1,6118,529,6647
17,2,6286,540,6826
15,1,6749,549,7298
29,2,6926,570,7496
22,1,7404,588,7992
28,2,7598,612,8210
1,1,8094,644,8738
16,2,8312,648,8960
10,1,8838,648,9486
4,2,9060,688,9748
41,1,9585,711,10296
46,2,9846,719,10565
