Task ID,Core ID,Wait Time (ms),Exec Time (ms),Turnaround Time (ms)
40,1,0,203,203
0,2,0,212,212
29,1,304,228,532
44,2,324,245,569
12,1,633,264,897
25,2,684,273,957
42,1,999,276,1275
19,2,1063,300,1363
17,1,1390,316,1706
26,2,1468,338,1806
43,1,1806,355,2161
21,2,1911,377,2288
8,1,2262,391,2653
15,2,2388,396,2784
39,1,2755,400,3155
13,2,2884,420,3304
31,1,3256,447,3703
28,2,3405,449,3854
46,1,3804,479,4283
49,2,3955,484,4439
27,1,4383,497,4880
48,2,4540,505,5045
45,1,4981,531,5512
9,2,5161,532,5693
16,1,5612,583,6195
36,2,5794,582,6376
33,1,6296,589,6885
4,2,6477,613,7090
24,1,6986,615,7601
32,2,7191,629,7820
18,1,7703,634,8337
41,2,7921,675,8596
35,1,8437,675,9112
14,2,8698,684,9382
47,1,9213,702,9915
6,2,9482,736,10218
