Task ID,Core ID,Wait Time (ms),Exec Time (ms),Turnaround Time (ms)
0,1,0,675,675
1,2,1,833,834
2,1,786,491,1277
3,2,944,412,1356
5,2,1465,316,1781
4,1,1387,677,2064
6,2,1891,219,2110
8,2,2220,468,2688
7,1,2173,515,2688
10,1,2799,484,3283
9,2,2799,858,3657
11,1,3392,623,4015
12,2,3767,500,4267
14,2,4376,251,4627
13,1,4125,722,4847
16,1,4959,374,5333
15,2,4737,988,5725
18,2,5835,372,6207
17,1,5443,811,6254
20,1,6362,691,7053
19,2,6315,831,7146
22,2,7255,404,7659
21,1,7161,606,7767
23,2,7768,295,8063
24,1,7876,624,8500
26,1,8611,453,9064
25,2,8174,905,9079
27,1,9165,334,9499
28,2,9187,880,10067
29,1,9600,574,10174
