coreId,taskId,arrivalTime,startTime,endTime,turnaroundMs,waitingMs
4,5,1762075617888,1762075617890,1762075618196,308,2
2,3,1762075617888,1762075617890,1762075618274,386,2
3,4,1762075617888,1762075617890,1762075618469,581,2
2,11,1762075617888,1762075618274,1762075618530,642,386
5,6,1762075617888,1762075617890,1762075618579,691,2
7,8,1762075617888,1762075617890,1762075618642,754,2
0,1,1762075617888,1762075617890,1762075618750,862,2
1,2,1762075617888,1762075617890,1762075618767,879,2
5,14,1762075617888,1762075618579,1762075618812,924,691
3,12,1762075617888,1762075618469,1762075618826,938,581
6,7,1762075617888,1762075617890,1762075618851,963,2
4,13,1762075617888,1762075618197,1762075618933,1045,309
0,9,1762075617888,1762075618750,1762075618988,1100,862
1,10,1762075617888,1762075618767,1762075618995,1107,879
5,22,1762075617888,1762075618812,1762075619023,1135,924
7,16,1762075617888,1762075618642,1762075619046,1158,754
3,20,1762075617888,1762075618826,1762075619218,1330,938
6,15,1762075617888,1762075618851,1762075619288,1400,963
5,30,1762075617888,1762075619023,1762075619310,1422,1135
3,28,1762075617888,1762075619218,1762075619428,1540,1330
7,24,1762075617888,1762075619046,1762075619439,1551,1158
2,19,1762075617888,1762075618530,1762075619494,1606,642
4,21,1762075617888,1762075618933,1762075619596,1708,1045
7,32,1762075617888,1762075619439,1762075619741,1853,1551
0,17,1762075617888,1762075618988,1762075619854,1966,1100
1,18,1762075617888,1762075618995,1762075619984,2096,1107
2,27,1762075617888,1762075619494,1762075620005,2117,1606
6,23,1762075617888,1762075619288,1762075620047,2159,1400
4,29,1762075617888,1762075619596,1762075620095,2207,1708
7,40,1762075617888,1762075619741,1762075620123,2235,1853
3,36,1762075617888,1762075619428,1762075620219,2331,1540
1,26,1762075617888,1762075619984,1762075620293,2405,2096
5,38,1762075617888,1762075619310,1762075620306,2418,1422
0,25,1762075617888,1762075619854,1762075620338,2450,1966
7,48,1762075617888,1762075620123,1762075620375,2487,2235
6,31,1762075617888,1762075620047,1762075620444,2556,2159
1,34,1762075617888,1762075620293,1762075620607,2719,2405
7,56,1762075617888,1762075620375,1762075620801,2913,2487
0,33,1762075617888,1762075620338,1762075620859,2971,2450
2,35,1762075617888,1762075620005,1762075620918,3030,2117
4,37,1762075617888,1762075620095,1762075621078,3190,2207
6,39,1762075617888,1762075620444,1762075621086,3198,2556
3,44,1762075617888,1762075620219,1762075621087,3199,2331
5,46,1762075617888,1762075620306,1762075621103,3215,2418
0,41,1762075617888,1762075620859,1762075621122,3234,2971
1,42,1762075617888,1762075620607,1762075621326,3438,2719
5,54,1762075617888,1762075621103,1762075621328,3440,3215
7,64,1762075617888,1762075620801,1762075621480,3592,2913
4,45,1762075617888,1762075621078,1762075621567,3679,3190
2,43,1762075617888,1762075620918,1762075621673,3785,3030
7,72,1762075617888,1762075621480,1762075621689,3801,3592
0,49,1762075617888,1762075621122,1762075621714,3826,3234
6,47,1762075617888,1762075621086,1762075621728,3840,3198
1,50,1762075617888,1762075621326,1762075621806,3918,3438
7,80,1762075617888,1762075621689,1762075621927,4039,3801
3,52,1762075617888,1762075621087,1762075621963,4075,3199
2,51,1762075617888,1762075621673,1762075621999,4111,3785
0,57,1762075617888,1762075621714,1762075622061,4173,3826
5,62,1762075617888,1762075621328,1762075622072,4184,3440
6,55,1762075617888,1762075621728,1762075622171,4283,3840
4,53,1762075617888,1762075621567,1762075622189,4301,3679
3,60,1762075617888,1762075621963,1762075622314,4426,4075
2,59,1762075617888,1762075621999,1762075622448,4560,4111
6,63,1762075617888,1762075622171,1762075622453,4565,4283
1,58,1762075617888,1762075621806,1762075622530,4642,3918
5,70,1762075617888,1762075622072,1762075622693,4805,4184
0,65,1762075617888,1762075622061,1762075622760,4872,4173
7,88,1762075617888,1762075621927,1762075622817,4929,4039
1,66,1762075617888,1762075622530,1762075622840,4952,4642
3,68,1762075617888,1762075622314,1762075623095,5207,4426
4,61,1762075617888,1762075622189,1762075623128,5240,4301
2,67,1762075617888,1762075622448,1762075623189,5301,4560
6,71,1762075617888,1762075622453,1762075623199,5311,4565
1,74,1762075617888,1762075622840,1762075623236,5348,4952
5,78,1762075617888,1762075622693,1762075623561,5673,4805
7,96,1762075617888,1762075622817,1762075623607,5719,4929
6,79,1762075617888,1762075623199,1762075623671,5783,5311
0,73,1762075617888,1762075622760,1762075623724,5836,4872
2,75,1762075617888,1762075623189,1762075623779,5891,5301
1,82,1762075617888,1762075623236,1762075623809,5921,5348
3,76,1762075617888,1762075623095,1762075623997,6109,5207
2,83,1762075617888,1762075623779,1762075624024,6136,5891
4,69,1762075617888,1762075623128,1762075624028,6140,5240
6,87,1762075617888,1762075623671,1762075624074,6186,5783
5,86,1762075617888,1762075623561,1762075624116,6228,5673
1,90,1762075617888,1762075623809,1762075624151,6263,5921
7,104,1762075617888,1762075623607,1762075624379,6491,5719
1,98,1762075617888,1762075624151,1762075624402,6514,6263
2,91,1762075617888,1762075624024,1762075624435,6547,6136
3,84,1762075617888,1762075623997,1762075624442,6554,6109
0,81,1762075617888,1762075623724,1762075624503,6615,5836
4,77,1762075617888,1762075624028,1762075624887,6999,6140
0,89,1762075617888,1762075624503,1762075624957,7069,6615
3,92,1762075617888,1762075624442,1762075625017,7129,6554
1,106,1762075617888,1762075624402,1762075625035,7147,6514
6,95,1762075617888,1762075624074,1762075625067,7179,6186
5,94,1762075617888,1762075624116,1762075625067,7179,6228
7,112,1762075617888,1762075624379,1762075625217,7329,6491
0,97,1762075617888,1762075624957,1762075625222,7334,7069
2,99,1762075617888,1762075624435,1762075625324,7436,6547
4,85,1762075617888,1762075624887,1762075625359,7471,6999
6,103,1762075617888,1762075625067,1762075625472,7584,7179
0,105,1762075617888,1762075625222,1762075625706,7818,7334
3,100,1762075617888,1762075625017,1762075625751,7863,7129
2,107,1762075617888,1762075625324,1762075625819,7931,7436
1,114,1762075617888,1762075625035,1762075625854,7966,7147
5,102,1762075617888,1762075625067,1762075625933,8045,7179
6,111,1762075617888,1762075625472,1762075625978,8090,7584
4,93,1762075617888,1762075625359,1762075626029,8141,7471
7,120,1762075617888,1762075625217,1762075626105,8217,7329
