Task ID,Core ID,Wait Time (ms),Exec Time (ms),Turnaround Time (ms)
14,2,12,233,245
33,1,12,245,257
40,2,260,253,513
12,1,261,265,526
2,2,515,328,843
39,1,526,347,873
0,2,853,368,1221
23,1,875,381,1256
18,2,1210,384,1594
43,1,1255,390,1645
24,2,1595,391,1986
44,1,1646,436,2082
15,2,1987,438,2425
35,1,2083,440,2523
31,2,2424,444,2868
17,1,2524,461,2985
42,2,2867,469,3336
5,1,2986,497,3483
22,2,3338,504,3842
6,1,3484,506,3990
38,2,3841,512,4353
8,1,3990,532,4522
9,2,4354,554,4908
41,1,4521,583,5104
19,2,4908,630,5538
47,1,5103,634,5737
4,2,5539,650,6189
13,1,5739,676,6415
