Task ID,Core ID,Wait Time (ms),Exec Time (ms),Turnaround Time (ms)
0,2,130,616,746
1,1,115,765,880
2,2,847,213,1060
3,1,981,852,1833
4,2,1161,815,1976
5,1,1935,776,2711
6,2,2078,893,2971
8,2,3082,382,3464
7,1,2813,691,3504
9,2,3571,724,4295
10,1,3617,873,4490
11,2,4397,445,4842
13,2,4944,382,5326
12,1,4591,812,5403
15,1,5507,437,5944
14,2,5428,915,6343
17,2,6445,282,6727
16,1,6045,904,6949
18,2,6827,980,7807
19,1,7050,839,7889
20,2,7908,563,8471
21,1,7995,591,8586
22,2,8585,459,9044
23,1,8686,556,9242
24,2,9144,492,9636
25,1,9343,480,9823
26,2,9737,380,10117
27,1,9924,447,10371
